Column1,Column2,assigned_cluster
2226.35994055,-667.316856758,1
141.255437413,123.607100697,0
2459.26094625,-1292.33241525,1
62.6026743763,13.6998677703,0
2032.59858837,-974.36721402,1
758.762481388,1166.86482102,2
1004.2784723,915.263026735,2
1871.23920665,-1232.30861111,1
41.8273358674,42.0683115163,0
1869.63818049,-1146.07246245,1
1565.88095441,1038.50343712,2
1175.22939192,1011.67719389,2
-88.2803396861,185.425280466,0
942.461906102,1006.07056261,2
777.294242456,1147.63032499,2
73.8741977081,-74.3417451112,0
2045.87843416,-1438.88969991,1
-40.2190268987,-110.459023637,0
2252.41798386,-1199.99115467,1
1622.30741987,220.529999325,2
958.770439133,1026.69087185,2
-32.6670070168,18.9571067701,0
1962.8134684,-1085.56760581,1
1908.65518998,-1357.39329799,1
2036.70669268,-962.458664579,1
2119.79029721,645.137412553,2
-26.1543988104,8.82171254612,0
1703.72497737,-1019.3367083,1
-42.7739712646,49.0892243732,0
231.994419035,-101.00090496,0
793.483322459,1068.2173627,2
-100.226873088,183.046070307,0
-59.0617769466,-154.207569875,0
996.66840548,1207.7816142,2
854.985930685,1191.66294993,2
2007.90865844,-1142.35722177,1
1742.00920975,-1007.62871804,1
1939.32254837,-783.500725876,1
1708.7878883,-631.127067207,1
1260.70645965,944.473424854,2
50.0259397318,-96.4460144641,0
762.971043341,-443.022176754,0
963.578230761,1148.02998639,2
2175.89768685,-596.537983437,1
801.063882822,1014.92967338,2
-95.8468636429,4.20321786998,0
56.7608098697,-60.2000140556,0
986.386767814,972.052126847,2
2373.02900659,-1078.11360408,1
2112.27191814,-1058.44309789,1
913.261157245,920.90328423,2
-38.4418180635,39.7285939427,0
1934.89859632,-555.397176028,1
2036.39447773,-1023.52237317,1
211.253054648,210.563573834,0
22.0907874444,66.1319172188,0
716.516227194,1030.840822,2
2350.60561518,-936.924917203,1
1749.15395156,-573.233911957,1
889.083131903,748.190550605,2
1924.95129544,-1064.99039554,1
1633.13087505,538.527285859,2
-92.1059692714,-86.0705932369,0
1032.42292339,1183.33736521,2
2435.49408487,-1222.55137693,1
1962.98520473,-1013.47097856,1
137.057854224,369.264248776,0
68.1153827786,-19.8194275421,0
2132.35750256,-1187.3995714,1
2556.87182938,1062.38808357,2
2213.32620576,-716.177038465,1
1969.56373809,-755.050411861,1
-138.983887944,68.2735063232,0
903.080126646,1173.2959807,2
-87.2178434727,189.477185926,0
2152.24656387,1440.66061246,2
1919.5542336,-953.655509096,1
135.820785845,-73.6436722291,0
2011.32455705,-897.250134137,1
61.9058780892,-3.71983538256,0
