Column1,Column2,assigned_cluster,distance_from_assigned_cluster_centriod,is_outlier
2226.35994055,-667.316856758,1,393.70776628,0
141.255437413,123.607100697,0,205.441573735,0
2459.26094625,-1292.33241525,1,587.763773802,0
62.6026743763,13.6998677703,0,70.2968555764,0
2032.59858837,-974.36721402,1,62.9079571424,0
758.762481388,1166.86482102,2,324.287425888,0
1004.2784723,915.263026735,2,99.8839123196,0
1871.23920665,-1232.30861111,1,283.820423568,0
41.8273358674,42.0683115163,0,88.3192135965,0
1869.63818049,-1146.07246245,1,205.989345241,0
1565.88095441,1038.50343712,2,525.314154003,0
1175.22939192,1011.67719389,2,133.825854358,0
-88.2803396861,185.425280466,0,254.970868796,0
942.461906102,1006.07056261,2,99.0112042259,0
777.294242456,1147.63032499,2,298.807051012,0
73.8741977081,-74.3417451112,0,59.4548636204,0
2045.87843416,-1438.88969991,1,478.606086266,0
-40.2190268987,-110.459023637,0,91.3839770899,0
2252.41798386,-1199.99115467,1,366.40363714,0
1622.30741987,220.529999325,2,978.495028189,1
958.770439133,1026.69087185,2,84.7771270559,0
-32.6670070168,18.9571067701,0,83.9215853594,0
1962.8134684,-1085.56760581,1,119.49354001,0
1908.65518998,-1357.39329799,1,395.904569413,0
2036.70669268,-962.458664579,1,66.6081076031,0
2119.79029721,645.137412553,2,1137.74130122,1
-26.1543988104,8.82171254612,0,72.029218587,0
1703.72497737,-1019.3367083,1,271.710551298,0
-42.7739712646,49.0892243732,0,113.903918181,0
231.994419035,-101.00090496,0,216.919691481,0
793.483322459,1068.2173627,2,255.185330341,0
-100.226873088,183.046070307,0,258.295941554,0
-59.0617769466,-154.207569875,0,137.083237987,0
996.66840548,1207.7816142,2,204.768730754,0
854.985930685,1191.66294993,2,261.750861793,0
2007.90865844,-1142.35722177,1,180.045111238,0
1742.00920975,-1007.62871804,1,231.912118273,0
1939.32254837,-783.500725876,1,185.393498778,0
1708.7878883,-631.127067207,1,425.069821547,0
1260.70645965,944.473424854,2,228.261165621,0
50.0259397318,-96.4460144641,0,59.0281908672,0
762.971043341,-443.022176754,0,840.931362682,0
963.578230761,1148.02998639,2,160.25410503,0
2175.89768685,-596.537983437,1,423.123952763,0
801.063882822,1014.92967338,2,240.491698419,0
-95.8468636429,4.20321786998,0,127.988559565,0
56.7608098697,-60.2000140556,0,37.6925542295,0
986.386767814,972.052126847,2,65.7467851625,0
2373.02900659,-1078.11360408,1,418.049067531,0
2112.27191814,-1058.44309789,1,169.326485414,0
913.261157245,920.90328423,2,154.965682575,0
-38.4418180635,39.7285939427,0,103.769426645,0
1934.89859632,-555.397176028,1,412.420433719,0
2036.39447773,-1023.52237317,1,87.4898298126,0
211.253054648,210.563573834,0,316.930167267,0
22.0907874444,66.1319172188,0,110.278931076,0
716.516227194,1030.840822,2,325.742487788,0
2350.60561518,-936.924917203,1,381.528753721,0
1749.15395156,-573.233911957,1,450.964591061,0
889.083131903,748.190550605,2,301.169170988,0
1924.95129544,-1064.99039554,1,108.570174786,0
1633.13087505,538.527285859,2,755.286434575,0
-92.1059692714,-86.0705932369,0,122.182406622,0
1032.42292339,1183.33736521,2,175.599107924,0
2435.49408487,-1222.55137693,1,531.180538115,0
1962.98520473,-1013.47097856,1,47.7178517334,0
137.057854224,369.264248776,0,428.946300537,0
68.1153827786,-19.8194275421,0,51.5568535426,0
2132.35750256,-1187.3995714,1,274.181595111,0
2556.87182938,1062.38808357,2,1516.39368089,1
2213.32620576,-716.177038465,1,348.810490141,0
1969.56373809,-755.050411861,1,211.253756892,0
-138.983887944,68.2735063232,0,196.891425926,0
903.080126646,1173.2959807,2,215.59226044,0
-87.2178434727,189.477185926,0,258.171155804,0
2152.24656387,1440.66061246,2,1192.09007311,1
1919.5542336,-953.655509096,1,52.2104638609,0
135.820785845,-73.6436722291,0,116.943974048,0
2011.32455705,-897.250134137,1,80.3664156966,0
61.9058780892,-3.71983538256,0,56.3437052812,0
-76.9666237664,52.6086532958,0,138.875832475,0
842.274455948,1348.70553687,2,394.680978916,0
1298.5348669,916.156081405,2,272.983597,0
2245.9120415,-878.923037447,1,289.218102275,0
-0.939502987318,-168.574868028,0,126.647184491,0
87.836106179,-1172.68486048,0,1130.41988513,1
876.184012336,1170.29070499,2,231.651128642,0
2254.89804757,-922.380571116,1,288.056751809,0
1698.09263679,-780.025145289,1,329.768347957,0
127.783435376,7.0022679126,0,116.907652435,0
1716.65231666,-1274.06159774,1,398.75625723,0
214.144280202,-694.499634583,0,677.958200061,0
79.4495659681,-11.7301456678,0,65.3912036513,0
-137.287627236,-130.72587352,0,181.875900329,0
105.844186744,-41.8479793052,0,83.2176358436,0
613.409940846,1107.44901933,2,439.452391419,0
1610.49055475,-940.932624452,1,360.612640373,0
-25.2751309893,-106.584639132,0,78.7162671047,0
1227.04747843,1251.07722784,2,305.851929066,0
847.814342139,799.30413982,2,284.672418358,0
-183.486893072,1690.13990767,2,1402.08315661,1
-86.7721917555,-35.4806219825,0,109.772983439,0
1919.13968187,-992.44943392,1,57.3739127164,0
50.3974725957,65.4924580269,0,113.092690993,0
1168.12944727,981.234097045,2,129.465410297,0
-142.561326316,57.4547763983,0,193.959128255,0
1776.95601927,-753.608271687,1,287.377942212,0
663.505569983,896.874130208,2,393.93923848,0
1663.12509304,-1300.52633583,1,453.878869553,0
361.730957225,2.55106738838,0,342.273076483,0
912.505463895,1200.97327893,2,232.116242298,0
870.565686817,574.663350612,2,465.787897985,0
1692.21683619,913.478858111,2,657.586371009,0
1765.9434313,-802.225767448,1,262.003963013,0
1188.14239069,-650.01632307,1,843.603306951,0
-61.5689577189,67.5647088474,0,139.905001124,0
2018.87245351,-882.825168078,1,96.6263387914,0
52.2834155696,-234.203714797,0,192.353200124,0
969.735053883,831.692311762,2,190.309746852,0
1443.78405871,-1092.60158386,1,541.364171194,0
1220.29459743,1042.71398441,2,182.183266094,0
-97.2916035199,80.1872521266,0,172.761742714,0
1834.56419873,-1186.27480781,1,258.432193738,0
1860.30051649,-1025.26852202,1,124.727399003,0
947.157022535,1137.30335447,2,160.059436087,0
2263.00201833,-1058.96274573,1,307.104508344,0
-276.335050829,-155.351604879,0,319.004379511,0
2111.93619541,-690.689004367,1,309.918690376,0
1969.71006737,-989.483563371,1,23.185764374,0
-106.09682437,106.590188791,0,198.240105546,0
734.671563201,1043.19734144,2,308.79915462,0
1153.64939012,1118.10699549,2,157.218366148,0
39.7158760564,-34.7419581159,0,19.4779207284,0
874.947301586,1014.44760522,2,166.633498242,0
2170.58278474,-1188.63580843,1,299.301184814,0
1793.40347038,-867.717436732,1,202.434103378,0
831.934263651,1209.70475625,2,290.853090379,0
1076.33904689,673.022470025,2,336.759878698,0
1794.15472249,-901.887955681,1,187.469066376,0
2273.76493689,-1244.55533173,1,411.788884122,0
880.365499717,1137.90073988,2,206.957978382,0
-13.6743134912,-163.909291005,0,125.15354444,0
761.267002618,1259.82532461,2,376.743946185,0
1108.61261159,809.300926458,2,209.713701681,0
1789.87260506,-839.142112544,1,220.66123143,0
801.620285363,1411.57240233,2,469.483729729,0
1712.05383714,86.7903118766,1,1084.27409707,1
-106.250898326,24.6844125718,0,146.133976162,0
